M/W,Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Germany,1,3,25,14,22,15,-,21,25,25,25,-,SET 1,14,11,1,2,,11,4,6,21,1,2,5,8,2,7,16,25,5,0,9,14,7,4,14,1,0,18,19
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Germany,1,3,25,14,22,15,-,21,25,25,25,-,SET 2,13,9,2,2,,9,7,7,23,2,5,5,12,2,4,9,15,8,1,13,22,5,2,9,3,1,19,23
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Germany,1,3,25,14,22,15,-,21,25,25,25,-,SET 3,14,10,4,0,,10,3,17,30,4,6,6,16,0,5,17,22,2,0,17,19,12,5,18,2,0,28,30
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Cuba,Germany,1,3,25,14,22,15,-,21,25,25,25,-,SET 4,10,7,1,2,,7,3,8,18,1,3,3,7,2,4,10,16,1,4,14,19,4,3,8,4,0,14,18
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Germany,Cuba,3,1,21,25,25,25,-,25,14,22,15,-,ALL SETS,65,52,8,5,,52,10,40,102,8,17,18,43,5,20,70,95,17,6,35,58,43,8,54,16,1,84,101
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Germany,Cuba,3,1,21,25,25,25,-,25,14,22,15,-,SET 1,12,10,2,0,,10,3,12,25,2,6,3,11,0,8,14,22,6,2,10,18,8,3,11,5,0,21,26
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Germany,Cuba,3,1,21,25,25,25,-,25,14,22,15,-,SET 2,17,11,5,1,,11,2,9,22,5,5,3,13,1,1,22,24,3,2,6,11,11,0,11,4,0,17,21
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Germany,Cuba,3,1,21,25,25,25,-,25,14,22,15,-,SET 3,18,17,1,0,,17,4,13,34,1,3,8,12,0,6,19,25,2,0,15,17,16,3,21,3,1,30,34
Men,2023,6,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Germany,Cuba,3,1,21,25,25,25,-,25,14,22,15,-,SET 4,18,14,0,4,,14,1,6,21,0,3,4,7,4,5,15,24,6,2,4,12,8,2,11,4,0,16,20
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Italy,Qatar,3,0,25,25,25,-,-,19,20,19,-,-,ALL SETS,48,37,9,2,,37,9,28,74,9,11,9,29,2,17,55,74,8,2,35,45,29,7,39,6,1,64,71
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Italy,Qatar,3,0,25,25,25,-,-,19,20,19,-,-,SET 1,14,11,3,0,,11,4,5,20,3,3,1,7,0,6,18,24,2,0,13,15,8,2,10,1,1,19,21
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Italy,Qatar,3,0,25,25,25,-,-,19,20,19,-,-,SET 2,21,17,3,1,,17,3,9,29,3,3,3,9,1,7,18,26,3,1,14,18,9,3,13,2,0,25,27
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Italy,Qatar,3,0,25,25,25,-,-,19,20,19,-,-,SET 3,13,9,3,1,,9,2,14,25,3,5,5,13,1,4,19,24,3,1,8,12,12,2,16,3,0,20,23
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Italy,0,3,19,20,19,-,-,25,25,25,-,-,ALL SETS,34,27,5,2,,27,16,36,79,5,15,8,28,2,15,43,60,8,2,47,57,19,8,33,5,2,71,78
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Italy,0,3,19,20,19,-,-,25,25,25,-,-,SET 1,11,8,3,0,,8,8,7,23,3,1,0,4,0,5,15,20,3,0,15,18,5,3,10,1,1,21,23
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Italy,0,3,19,20,19,-,-,25,25,25,-,-,SET 2,10,8,1,1,,8,3,13,24,1,11,3,15,1,2,17,20,2,1,16,19,4,3,8,1,0,23,24
Men,2023,7,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Italy,0,3,19,20,19,-,-,25,25,25,-,-,SET 3,13,11,1,1,,11,5,16,32,1,3,5,9,1,8,11,20,3,1,16,20,10,2,15,3,1,27,31
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Iran,Ukraine,0,3,19,22,17,-,-,25,25,25,-,-,ALL SETS,41,34,4,3,,34,14,23,71,4,20,3,27,3,12,45,60,16,8,38,62,8,10,20,16,0,53,69
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Iran,Ukraine,0,3,19,22,17,-,-,25,25,25,-,-,SET 1,16,12,3,1,,12,4,8,24,3,7,0,10,1,1,18,20,5,3,13,21,2,6,9,5,0,20,25
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Iran,Ukraine,0,3,19,22,17,-,-,25,25,25,-,-,SET 2,15,13,1,1,,13,5,5,23,1,7,3,11,1,5,16,22,5,3,13,21,4,4,8,6,0,16,22
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Iran,Ukraine,0,3,19,22,17,-,-,25,25,25,-,-,SET 3,10,9,0,1,,9,5,10,24,0,6,0,6,1,6,11,18,6,2,12,20,2,0,3,5,0,17,22
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Iran,3,0,25,25,25,-,-,19,22,17,-,-,ALL SETS,56,41,7,8,,41,7,9,57,7,8,17,32,8,12,54,74,10,3,35,48,14,9,23,7,2,49,58
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Iran,3,0,25,25,25,-,-,19,22,17,-,-,SET 1,22,16,3,3,,16,3,4,23,3,6,8,17,3,3,18,24,4,1,14,19,3,3,6,4,0,17,21
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Iran,3,0,25,25,25,-,-,19,22,17,-,-,SET 2,19,13,3,3,,13,2,4,19,3,1,3,7,3,5,18,26,3,1,13,17,5,3,8,1,1,19,21
Men,2023,8,2023/10/1,A,Preliminary,Rio De Janeiro,Brazil,Ukraine,Iran,3,0,25,25,25,-,-,19,22,17,-,-,SET 3,15,12,1,2,,12,2,1,15,1,1,6,8,2,4,18,24,3,1,8,12,6,3,9,2,1,13,16
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Iran,Qatar,3,1,25,23,25,25,-,23,25,17,23,-,ALL SETS,77,56,13,8,,56,16,40,112,13,24,20,57,8,14,75,97,36,4,39,79,30,13,49,24,1,83,108
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Iran,Qatar,3,1,25,23,25,25,-,23,25,17,23,-,SET 1,18,15,2,1,,15,5,13,33,2,8,6,16,1,3,21,25,10,2,9,21,11,2,14,4,0,28,32
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Iran,Qatar,3,1,25,23,25,25,-,23,25,17,23,-,SET 2,21,15,5,1,,15,5,13,33,5,5,5,15,1,4,18,23,10,1,14,25,6,4,11,11,1,22,34
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Iran,Qatar,3,1,25,23,25,25,-,23,25,17,23,-,SET 3,19,10,4,5,,10,4,6,20,4,4,5,13,5,3,17,25,6,0,6,12,7,3,12,3,0,16,19
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Iran,Qatar,3,1,25,23,25,25,-,23,25,17,23,-,SET 4,19,16,2,1,,16,2,8,26,2,7,4,13,1,4,19,24,10,1,10,21,6,4,12,6,0,17,23
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Iran,1,3,23,25,17,23,-,25,23,25,25,-,ALL SETS,66,53,9,4,,53,20,42,115,9,22,20,51,4,11,75,90,23,8,52,83,25,17,49,24,1,89,114
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Iran,1,3,23,25,17,23,-,25,23,25,25,-,SET 1,16,13,1,2,,13,6,12,31,1,4,8,13,2,2,19,23,7,1,14,22,8,7,16,5,1,25,31
Men,2023,9,2023/10/3,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Iran,1,3,23,25,17,23,-,25,23,25,25,-,SET 2,19,14,4,1,,14,6,9,29,4,9,6,19,1,1,24,26,5,1,13,19,8,2,12,6,0,23,29
